"","SERIALNO","SPORDER","AGEP","SEX","RAC1P","HISP","SCHL","HINCP","VEH","RELP","ADJINC","ST","YEAR"
"1","1151517","3",12,2,1,1,10,140000,2,2,1.018237,"9",2011
"2","1417594","3",3,1,1,1,1,85000,2,2,1.018237,"12",2011
"3","2017000926141","2",43,1,1,21,16,30000,1,1,1.011189,"12",2017
"4","869678","2",37,2,1,4,19,156010,2,1,1.018389,"12",2008
"5","2017001228231","2",62,2,1,1,20,111000,2,1,1.011189,"12",2017
"6","2017000325112","2",34,1,1,2,16,51800,0,13,1.011189,"12",2017
"7","731314","1",75,1,1,1,12,83800,2,0,1.015675,"12",2006
"8","1157799","1",40,1,1,4,13,19200,2,0,1.016787,"12",2007
"9","1055355","2",44,2,1,1,16,34000,2,13,1.008425,"12",2014
"10","1316722","5",13,1,1,1,10,61400,4,7,1.001264,"9",2015
"11","1258446","1",82,1,1,4,9,13300,1,0,1.018389,"12",2008
"12","000806932","1",44,1,1,3,21,128000,2,0,1.007588,"12",2016
"13","1006061","2",78,2,1,1,19,51650,2,1,1.018389,"12",2008
"14","384139","2",67,2,1,1,16,170000,1,1,1.016787,"12",2007
"15","992660","1",33,1,1,1,2,60000,1,0,1.015675,"12",2006
"16","1109144","1",65,1,1,1,16,45900,1,0,1.001264,"12",2015
"17","643519","2",74,2,1,1,21,34940,2,1,0.99948,"12",2009
"18","001250421","4",16,1,1,1,14,75600,3,2,1.007588,"12",2016
"19","373666","2",31,2,1,1,16,38000,2,1,1.010207,"9",2012
"20","603160","2",51,2,1,2,18,61000,1,1,1.008425,"12",2014
"21","1326049","1",75,2,1,1,10,22600,0,0,1.015675,"9",2006
"22","290761","4",16,1,8,3,13,76600,2,2,1.001264,"9",2015
"23","1388864","2",55,2,1,1,21,118120,2,1,1.001264,"9",2015
"24","234863","4",8,1,1,11,2,15800,1,5,1.015675,"12",2006
"25","938487","4",16,2,1,21,11,8000,1,2,1.007549,"12",2013
"26","914504","1",43,2,1,1,22,96000,2,0,1.010207,"12",2012
"27","159848","2",26,2,1,1,21,30000,0,1,1.018237,"9",2011
"28","1111221","3",16,2,2,1,13,51200,3,4,0.99948,"12",2009
"29","1155772","1",51,2,1,1,21,98000,2,0,1.008425,"12",2014
"30","413774","2",58,1,1,2,21,66500,2,1,1.008425,"12",2014
"31","119304","2",51,2,1,1,9,77000,1,1,1.016787,"9",2007
"32","820056","3",14,1,1,4,10,33600,2,2,1.007624,"12",2010
"33","1247102","2",72,2,1,1,19,65100,1,1,1.018237,"12",2011
"34","1378843","3",27,1,1,1,21,238840,3,10,1.007624,"9",2010
"35","663040","2",39,2,1,1,9,164200,4,1,1.015675,"12",2006
"36","384450","1",12,2,2,1,3,-59999,-1,13,1.016787,"12",2007
"37","1313085","2",34,1,2,1,24,16000,1,13,1.007624,"12",2010
"38","2017000586200","6",15,1,1,1,12,160000,4,3,1.011189,"12",2017
"39","940236","1",64,1,9,1,16,49000,2,0,1.010207,"12",2012
"40","640297","2",52,2,1,4,16,110400,3,1,1.008425,"12",2014
"41","141344","3",21,2,6,1,19,57000,3,15,1.007624,"12",2010
"42","1218090","2",32,2,1,1,21,255000,2,1,1.008425,"12",2014
"43","000030529","2",16,2,1,1,13,87000,6,4,1.007588,"12",2016
"44","551039","1",80,1,1,1,16,40660,2,0,1.018389,"9",2008
"45","103775","2",31,1,1,1,16,32000,2,11,0.99948,"12",2009
"46","798939","2",28,2,1,1,13,76000,1,1,1.015675,"12",2006
"47","000414440","2",45,2,2,1,18,56000,2,1,1.007588,"12",2016
"48","1050755","4",5,1,1,1,1,94500,2,2,1.015675,"9",2006
"49","761145","1",87,2,1,1,21,12800,1,0,0.99948,"9",2009
"50","718232","3",57,1,1,4,9,65740,3,11,1.007549,"12",2013
"51","1166269","4",21,1,1,1,19,381000,6,2,0.99948,"12",2009
"52","793141","4",6,1,1,1,3,180000,2,2,1.007549,"12",2013
"53","1156657","1",89,1,1,1,19,62800,2,0,1.007624,"12",2010
"54","1187066","2",50,1,1,1,19,56700,2,13,0.99948,"12",2009
"55","929866","3",16,1,1,1,13,40600,2,2,1.007624,"12",2010
"56","465526","3",23,1,1,1,9,122000,3,2,1.015675,"12",2006
"57","432202","2",47,2,1,1,19,40000,2,1,1.007624,"12",2010
"58","1367955","2",0,2,1,1,0,73000,2,2,1.001264,"12",2015
"59","939421","1",46,2,2,1,16,20800,1,0,1.007624,"12",2010
"60","000862388","2",39,2,1,1,19,58000,2,1,1.007588,"12",2016
"61","81524","1",75,2,1,1,18,42000,1,0,1.007624,"12",2010
"62","701182","2",29,1,1,1,22,127000,2,12,1.018389,"12",2008
"63","228533","5",67,2,1,1,16,71800,3,8,1.018389,"9",2008
"64","1097918","3",13,2,1,1,10,90000,2,2,1.010207,"12",2012
"65","407464","1",48,2,1,4,16,54000,1,0,1.007624,"12",2010
"66","1083713","1",53,2,1,1,16,58000,0,0,0.99948,"12",2009
"67","1068662","5",0,2,2,1,0,69000,2,7,1.018237,"12",2011
"68","180495","1",37,2,1,1,13,83000,2,0,1.016787,"12",2007
"69","722840","1",34,1,1,1,21,46800,1,0,1.007624,"12",2010
"70","1002643","2",21,1,2,1,10,56400,2,2,1.016787,"9",2007
"71","474661","3",50,1,1,1,16,20300,1,11,1.001264,"12",2015
"72","1006720","2",48,2,1,1,16,165000,2,1,1.010207,"12",2012
"73","899029","1",28,2,1,3,19,52000,1,0,1.007549,"12",2013
"74","974425","1",73,1,1,1,21,60000,1,0,1.018237,"12",2011
"75","288613","3",6,2,1,1,3,3500,2,2,1.007624,"12",2010
"76","47819","1",60,1,1,1,20,55000,1,0,0.99948,"12",2009
"77","686658","1",58,2,1,1,16,103000,2,0,1.007624,"12",2010
"78","1172001","1",38,1,1,1,16,59000,3,0,1.007549,"12",2013
"79","000206279","2",71,1,1,1,16,28400,2,1,1.007588,"9",2016
"80","90220","2",47,2,1,1,9,48330,2,1,1.015675,"9",2006
"81","689023","1",94,2,2,1,18,-60000,-1,16,1.018389,"12",2008
"82","710974","3",2,2,1,9,0,71300,1,7,1.010207,"12",2012
"83","540460","1",69,1,1,1,9,13600,4,0,1.016787,"12",2007
"84","2017000390624","1",79,2,1,1,21,22810,1,0,1.011189,"12",2017
"85","451896","4",7,1,1,1,4,53000,2,7,1.010207,"12",2012
"86","143242","2",58,2,1,16,19,108000,4,1,1.001264,"12",2015
"87","959685","1",58,1,1,1,17,100140,2,0,1.001264,"9",2015
"88","872132","2",53,2,2,1,16,123000,2,1,1.007549,"12",2013
"89","262117","1",54,1,8,3,14,52000,2,0,1.008425,"9",2014
"90","514629","2",21,1,1,1,16,30520,2,12,1.018389,"12",2008
"91","359877","5",14,2,1,1,3,60000,2,2,1.015675,"12",2006
"92","1107629","1",71,2,1,1,19,99200,1,0,1.018237,"12",2011
"93","001305094","4",14,2,2,1,12,35300,1,2,1.007588,"12",2016
"94","1243201","3",20,2,1,24,19,97000,3,2,1.008425,"12",2014
"95","212188","1",28,2,2,1,10,49300,2,0,1.015675,"12",2006
"96","000258290","2",37,1,9,1,21,85600,1,13,1.007588,"12",2016
"97","450532","1",59,2,1,1,16,77000,2,0,1.008425,"12",2014
"98","976478","3",33,2,1,9,16,43200,2,9,1.001264,"12",2015
"99","409631","2",19,1,1,1,9,66200,4,2,1.015675,"9",2006
"100","356591","1",26,1,1,1,16,90000,0,0,1.018389,"9",2008
"101","2017000001392","3",7,1,8,3,3,51000,1,2,1.011189,"09",2017
"102","1174310","3",14,1,1,1,11,88000,2,2,0.99948,"12",2009
"103","1114130","2",80,2,6,1,9,86300,2,1,1.016787,"12",2007
"104","634712","2",38,2,1,1,11,92000,2,1,1.016787,"12",2007
"105","214449","2",28,2,2,1,11,59600,2,1,1.015675,"12",2006
"106","500030","1",70,1,2,8,16,66400,3,0,1.001264,"12",2015
"107","1267859","3",9,2,1,1,6,46900,2,2,0.99948,"12",2009
"108","1219322","1",78,1,1,1,16,149900,3,0,1.010207,"9",2012
"109","1406417","1",40,2,1,1,19,56600,1,0,1.018237,"12",2011
"110","29761","1",44,2,1,1,22,143000,2,0,1.018237,"9",2011
"111","730047","1",20,1,1,2,6,24000,0,0,1.018389,"12",2008
"112","1095615","1",86,2,1,4,9,32000,1,0,1.007624,"12",2010
"113","1353856","2",53,1,1,1,16,186000,3,1,1.018237,"9",2011
"114","569618","1",70,1,2,1,15,64600,2,0,1.010207,"12",2012
"115","86197","4",13,1,1,1,12,40060,3,2,1.007624,"9",2010
"116","916238","1",49,2,2,1,17,53000,1,0,1.018389,"12",2008
"117","654445","10",2,2,8,2,0,119700,5,7,1.007624,"12",2010
"118","360773","3",20,1,1,1,19,59060,3,2,1.007549,"12",2013
"119","587176","3",13,2,9,1,11,75000,2,2,1.007624,"12",2010
"120","762222","2",54,2,9,5,18,115500,1,6,1.018237,"12",2011
"121","271547","4",18,1,1,1,7,146900,5,2,1.016787,"12",2007
"122","1281061","1",75,2,2,4,16,27600,2,0,1.018237,"12",2011
"123","39496","1",38,1,1,1,19,135000,2,0,1.007549,"12",2013
"124","2017000326846","5",13,2,1,1,10,246000,2,2,1.011189,"09",2017
"125","676187","2",40,2,1,1,16,110000,1,1,1.007549,"12",2013
"126","785931","6",11,2,2,1,8,69300,1,7,1.008425,"12",2014
"127","776784","3",17,1,8,7,14,105000,2,2,1.007624,"9",2010
"128","712591","1",72,1,2,1,16,16800,1,0,1.008425,"12",2014
"129","1241950","2",75,2,1,1,18,20200,2,1,1.010207,"12",2012
"130","2017000165994","1",88,1,1,4,11,17710,1,0,1.011189,"12",2017
"131","861845","2",72,1,1,1,17,63800,3,1,1.007549,"12",2013
"132","2017001010552","1",42,1,2,1,19,45000,1,0,1.011189,"12",2017
"133","588545","1",57,2,1,1,23,125800,2,0,1.007624,"12",2010
"134","300302","1",70,2,2,1,8,24000,1,0,1.015675,"12",2006
"135","1032394","1",57,1,1,1,13,57120,2,0,1.015675,"12",2006
"136","568803","2",63,2,1,1,18,74400,2,1,1.008425,"12",2014
"137","849248","1",57,1,1,1,14,28000,1,0,1.018237,"12",2011
"138","937364","2",71,2,1,1,18,87800,3,1,1.008425,"12",2014
"139","2017000975272","3",9,2,1,3,5,73600,3,7,1.011189,"12",2017
"140","753193","1",38,2,1,1,14,92500,2,0,1.016787,"12",2007
"141","2017000411297","4",13,2,1,1,10,106400,3,2,1.011189,"12",2017
"142","514260","1",85,1,1,1,21,66500,2,0,1.018389,"12",2008
"143","976530","1",66,1,1,4,21,46390,2,0,1.018389,"12",2008
"144","1085384","2",74,1,1,1,18,20700,1,1,1.018237,"12",2011
"145","768265","1",47,2,1,1,11,9000,1,0,1.015675,"12",2006
"146","678696","6",24,2,8,2,20,33200,2,15,0.99948,"12",2009
"147","1114535","3",17,2,1,1,14,80000,3,2,0.99948,"12",2009
"148","1318970","1",79,1,1,1,14,49400,1,0,1.016787,"12",2007
"149","789063","4",11,1,1,4,2,38900,2,2,1.016787,"12",2007
"150","1242665","2",18,1,1,1,9,12800,2,2,1.016787,"12",2007
"151","2017001308807","1",49,2,1,1,22,157000,3,0,1.011189,"09",2017
"152","770488","1",38,2,6,1,22,104800,1,0,0.99948,"12",2009
"153","2017000227214","2",74,2,1,1,21,90100,2,1,1.011189,"12",2017
"154","507958","3",9,1,2,1,6,26100,4,2,1.010207,"12",2012
"155","000328129","1",72,2,1,1,18,82500,2,0,1.007588,"12",2016
"156","294212","5",44,1,1,1,20,57000,3,15,1.018237,"12",2011
"157","1133876","1",59,2,2,1,24,76600,3,0,1.018237,"12",2011
"158","238871","1",44,1,1,1,16,55000,1,0,1.007549,"12",2013
"159","855067","1",32,1,1,3,13,157380,2,0,1.016787,"12",2007
"160","406185","2",58,2,1,1,19,38700,3,1,1.018389,"12",2008
"161","792922","3",29,1,2,1,19,78200,2,7,1.008425,"9",2014
"162","718921","1",81,2,1,1,11,-60000,-1,16,1.008425,"12",2014
"163","2017001273161","2",46,2,1,1,16,113600,3,1,1.011189,"09",2017
"164","1380225","4",1,1,9,10,0,74400,2,2,1.007549,"12",2013
"165","192339","2",46,2,2,1,19,71600,2,7,1.007549,"12",2013
"166","1064645","4",5,2,1,1,2,28300,1,7,1.007624,"12",2010
"167","672835","2",65,2,1,1,19,82800,2,1,1.010207,"12",2012
"168","145970","4",8,1,1,1,4,41300,2,2,0.99948,"12",2009
"169","606054","2",16,1,1,1,6,35000,4,2,1.015675,"12",2006
"170","75837","3",22,1,1,1,11,174300,3,2,1.015675,"12",2006
"171","84356","2",47,2,1,3,8,36800,1,1,1.015675,"9",2006
"172","32430","1",60,2,1,1,18,66600,2,0,1.007549,"9",2013
"173","1226059","2",66,2,1,1,20,210811,3,1,1.010207,"12",2012
"174","460687","3",12,1,1,1,9,8130,1,2,1.018237,"12",2011
"175","442549","1",44,1,1,1,11,55000,1,0,1.016787,"12",2007
"176","536054","1",52,1,1,1,14,124000,1,0,1.015675,"12",2006
"177","1161795","3",13,1,1,1,10,257000,4,2,0.99948,"12",2009
"178","366360","1",72,1,1,1,16,23000,1,0,1.008425,"9",2014
"179","000509555","3",66,2,8,1,23,5000,1,6,1.007588,"12",2016
"180","1203452","2",63,2,1,1,22,110200,2,1,1.007624,"12",2010
"181","000403882","2",72,1,1,1,16,42000,1,1,1.007588,"12",2016
"182","000176207","5",15,1,1,1,12,36400,1,4,1.007588,"12",2016
"183","547877","1",91,1,1,1,11,9000,1,0,1.008425,"12",2014
"184","2017001469076","1",53,1,2,1,17,-60000,NA,16,1.011189,"12",2017
"185","1374916","4",10,1,1,1,7,303001,2,2,1.008425,"9",2014
"186","928479","3",23,2,9,1,13,138000,2,2,1.016787,"12",2007
"187","810203","1",78,1,1,1,16,40500,1,0,1.007549,"9",2013
"188","1336330","2",53,2,1,1,18,132001,2,1,1.018237,"9",2011
"189","1364539","2",72,2,1,4,16,43500,2,1,1.010207,"12",2012
"190","1107043","1",19,1,1,1,8,-59999,-1,14,1.016787,"12",2007
"191","178508","1",59,1,1,1,22,226000,3,0,1.007549,"12",2013
"192","1306730","1",42,1,2,1,20,46200,2,0,0.99948,"12",2009
"193","457730","1",58,1,1,1,16,-60000,-1,16,1.018237,"12",2011
"194","925302","1",48,2,1,1,13,105000,2,0,1.016787,"12",2007
"195","694691","1",56,1,1,1,9,75900,2,0,1.016787,"9",2007
"196","1270254","1",94,2,1,1,19,-60000,-1,16,1.018237,"9",2011
"197","866074","1",51,1,2,1,14,94600,2,0,1.016787,"12",2007
"198","2017001492518","1",20,1,2,1,16,-60000,NA,16,1.011189,"12",2017
"199","1366926","1",59,1,1,1,12,112400,2,0,1.016787,"12",2007
"200","1231361","1",79,1,1,1,19,49700,3,0,1.007549,"12",2013
"201","1070892","2",7,1,1,2,4,64300,1,2,1.010207,"12",2012
"202","17912","2",57,2,1,1,13,25000,2,2,1.007624,"12",2010
"203","79969","1",35,2,8,2,13,26500,1,0,1.015675,"12",2006
"204","103665","1",41,1,1,1,4,-60000,-1,17,1.018389,"9",2008
"205","1071635","1",66,1,1,1,22,155000,1,0,1.010207,"9",2012
"206","691483","1",82,2,1,1,16,61900,1,0,1.008425,"12",2014
"207","691145","1",81,2,1,1,15,13000,1,0,1.010207,"12",2012
"208","1207034","2",81,1,1,1,22,80900,1,1,1.001264,"12",2015
"209","179944","1",32,1,1,1,16,25400,4,0,1.007624,"12",2010
"210","1151678","1",87,2,1,1,9,-59999,-1,13,1.016787,"12",2007
"211","1037074","1",80,1,1,1,13,-60000,-1,13,1.015675,"12",2006
"212","1232860","1",57,2,9,1,10,68650,1,0,1.016787,"9",2007
"213","143588","3",49,2,1,1,20,72400,2,2,1.010207,"12",2012
"214","1005213","1",28,1,1,11,16,18700,1,0,0.99948,"12",2009
"215","4744","3",2,2,1,1,0,234000,3,7,1.007549,"9",2013
"216","861208","2",55,2,2,1,19,54900,1,1,1.007624,"12",2010
"217","1441329","1",50,2,6,1,22,230200,2,0,1.007549,"12",2013
"218","1135360","2",60,2,1,1,21,81600,2,1,1.018389,"12",2008
"219","2017000684420","4",11,2,1,3,8,120000,3,2,1.011189,"12",2017
"220","493818","4",45,1,1,1,9,39500,1,2,1.007549,"9",2013
"221","477391","3",2,1,1,1,0,1e+05,2,2,1.008425,"9",2014
"222","360456","4",12,1,1,1,3,194030,3,2,1.016787,"12",2007
"223","1318302","3",7,1,2,1,4,72600,2,2,1.007624,"12",2010
"224","353326","4",15,2,1,1,4,10000,1,2,1.015675,"12",2006
"225","1044738","2",35,2,6,1,21,296000,3,1,1.018389,"9",2008
"226","1161369","2",36,2,2,1,21,51000,2,1,0.99948,"12",2009
"227","001210967","1",33,2,1,1,21,93000,2,0,1.007588,"12",2016
"228","1204543","2",52,1,1,1,16,82500,2,1,1.008425,"9",2014
"229","2017001045368","1",44,2,1,1,21,104500,2,0,1.011189,"12",2017
"230","190860","2",50,2,1,2,18,72000,2,12,1.018237,"12",2011
"231","429773","2",65,2,1,1,16,43500,1,1,1.018389,"12",2008
"232","573462","1",87,2,1,16,13,28200,0,0,1.010207,"12",2012
"233","280719","2",83,1,1,1,16,67200,2,13,1.010207,"12",2012
"234","1309270","3",25,2,1,3,19,71000,3,2,1.007624,"12",2010
"235","000917375","1",53,2,2,1,16,33600,3,0,1.007588,"12",2016
"236","2017000056192","6",30,1,1,1,20,79600,3,9,1.011189,"12",2017
"237","802845","3",3,2,8,5,1,18000,0,2,1.016787,"12",2007
"238","566971","2",50,1,1,1,20,204000,2,1,1.007624,"9",2010
"239","305806","2",50,2,1,1,5,23000,1,2,1.015675,"12",2006
"240","1090892","1",57,1,1,1,13,-60000,-1,16,1.010207,"12",2012
"241","830613","1",55,2,1,1,18,51300,0,0,1.007549,"12",2013
"242","878247","1",49,2,2,1,16,23000,0,0,1.007624,"12",2010
"243","1459798","1",78,1,1,1,16,30000,2,0,1.007549,"12",2013
"244","1036397","1",41,2,1,1,21,130000,2,0,1.008425,"9",2014
"245","820507","1",33,2,1,1,12,70000,3,0,1.015675,"12",2006
"246","696918","1",61,1,1,1,14,238000,2,0,1.016787,"12",2007
"247","630716","2",55,2,1,1,9,11200,1,10,1.016787,"9",2007
"248","546726","3",24,2,1,4,16,24500,2,13,1.018237,"12",2011
"249","539256","1",41,1,1,1,13,180000,2,0,1.016787,"12",2007
"250","1082168","1",90,2,1,1,16,13200,1,0,1.001264,"12",2015
"251","1361675","3",25,2,2,9,21,64600,3,2,0.99948,"12",2009
"252","698412","1",65,1,1,1,21,112900,3,0,1.008425,"12",2014
"253","623354","1",87,2,1,1,16,16600,1,0,1.010207,"9",2012
"254","1434060","2",31,2,1,1,21,55600,1,1,1.010207,"12",2012
"255","000436631","2",4,2,1,1,1,11000,1,2,1.007588,"12",2016
"256","1383412","2",51,2,1,1,16,53500,3,1,1.008425,"12",2014
"257","000544441","1",84,1,1,1,22,33300,1,0,1.007588,"12",2016
"258","592278","1",67,1,6,1,15,204220,2,0,1.016787,"9",2007
"259","252855","1",74,1,1,1,21,20200,1,0,1.018389,"12",2008
"260","2017000415349","2",39,1,2,1,16,80000,2,1,1.011189,"12",2017
"261","855596","5",11,2,1,1,3,114900,3,2,1.015675,"12",2006
"262","486370","2",58,2,1,1,20,106490,2,1,1.008425,"12",2014
"263","871945","1",50,2,1,1,12,30110,2,0,1.016787,"12",2007
"264","725885","4",19,1,1,4,19,2e+05,3,2,1.007624,"12",2010
"265","894979","4",16,2,1,1,6,78500,2,2,1.015675,"12",2006
"266","000118761","2",85,2,1,1,22,26000,1,1,1.007588,"12",2016
"267","809204","4",13,2,1,1,9,80830,2,2,1.018389,"12",2008
"268","973352","5",14,2,1,1,11,45900,2,2,1.007549,"12",2013
"269","000216035","1",64,2,1,1,23,384000,1,0,1.007588,"12",2016
"270","1081667","1",66,1,1,1,16,49400,1,0,1.018237,"12",2011
"271","1191917","1",18,1,2,1,18,-60000,-1,17,1.010207,"12",2012
"272","1397619","4",18,1,1,1,14,75000,4,2,1.007549,"12",2013
"273","000548656","2",63,1,1,1,16,45000,2,1,1.007588,"12",2016
"274","342572","2",21,2,2,1,19,5500,1,2,1.010207,"12",2012
"275","851236","3",4,1,1,1,1,114000,2,2,1.007624,"12",2010
"276","1032948","2",36,2,1,1,21,94050,2,1,1.018389,"12",2008
"277","2017001358114","2",70,2,1,1,13,36700,1,1,1.011189,"12",2017
"278","1034291","2",16,1,1,1,13,124000,2,2,1.007624,"12",2010
"279","397873","1",19,2,1,1,19,-60000,-1,17,1.001264,"12",2015
"280","237471","2",71,2,1,1,22,149400,2,1,1.007624,"9",2010
"281","001410598","2",44,2,1,1,20,110000,2,13,1.007588,"12",2016
"282","698901","1",57,2,1,1,19,-60000,-1,16,1.018237,"12",2011
"283","000087110","2",72,2,1,1,19,50300,2,1,1.007588,"9",2016
"284","907492","2",60,2,2,1,13,37000,0,1,1.008425,"12",2014
"285","980927","1",35,2,1,1,22,60000,2,0,1.001264,"12",2015
"286","499455","2",14,1,1,23,4,13000,1,2,1.016787,"12",2007
"287","260935","3",11,2,2,1,8,35300,1,2,1.010207,"12",2012
"288","785760","2",49,1,1,1,21,110000,2,12,1.018389,"12",2008
"289","2017000105480","2",68,1,1,1,21,95500,2,1,1.011189,"12",2017
"290","2017001195385","1",32,1,1,1,21,173000,4,0,1.011189,"09",2017
"291","1312030","2",56,1,2,1,10,46000,3,2,1.015675,"12",2006
"292","571836","3",22,2,1,1,21,144000,3,2,1.001264,"12",2015
"293","2017001168575","2",79,2,1,1,21,23600,2,1,1.011189,"12",2017
"294","2017000592431","2",44,2,1,1,21,140000,2,1,1.011189,"09",2017
"295","2017001087580","2",54,1,1,1,19,86000,4,1,1.011189,"12",2017
"296","718314","2",40,2,1,1,20,118900,2,1,1.018389,"12",2008
"297","1402201","1",84,1,1,1,20,238600,1,0,1.008425,"12",2014
"298","157137","4",15,2,2,1,13,143000,2,4,1.018237,"9",2011
"299","902438","1",36,2,1,1,22,46900,1,0,1.018389,"12",2008
"300","2017000339446","1",77,2,1,3,21,10000,0,0,1.011189,"12",2017
"301","139681","1",85,2,1,1,19,12100,0,0,1.018389,"12",2008
"302","850564","4",15,1,6,1,12,124000,3,2,1.007624,"12",2010
"303","1319770","1",79,1,1,1,9,19000,1,0,1.016787,"9",2007
"304","685916","2",56,1,1,1,19,35200,2,1,1.008425,"12",2014
"305","1390234","2",76,1,1,1,21,38000,2,15,1.007549,"12",2013
"306","94162","2",51,2,1,1,16,181000,2,1,1.007624,"12",2010
"307","2017001281595","3",11,2,1,1,8,85900,1,2,1.011189,"12",2017
"308","711054","2",52,1,1,1,8,29590,1,2,1.007624,"12",2010
"309","2017001053509","4",13,2,1,4,10,90000,3,2,1.011189,"12",2017
"310","565295","3",20,2,1,1,16,141300,3,2,1.018237,"12",2011
"311","001019160","4",11,1,1,1,8,156200,3,2,1.007588,"12",2016
"312","287074","2",42,1,1,1,19,36000,2,1,1.008425,"12",2014
"313","1209560","1",66,2,1,1,9,19500,1,0,1.016787,"12",2007
"314","500837","5",11,2,1,1,7,62500,3,2,1.007624,"12",2010
"315","415956","2",48,1,2,1,20,154000,1,1,1.007549,"9",2013
"316","932026","1",21,2,1,1,19,0,2,0,1.008425,"12",2014
"317","497631","2",44,1,1,1,1,71500,3,12,1.008425,"12",2014
"318","2017000756743","1",36,1,1,1,18,38000,2,0,1.011189,"12",2017
"319","001423455","1",58,1,1,1,23,192000,1,0,1.007588,"12",2016
"320","155867","3",5,1,1,1,2,216500,2,2,1.010207,"9",2012
"321","810576","4",10,2,1,2,6,42600,2,10,1.001264,"12",2015
"322","70095","1",75,2,1,4,10,15400,0,0,1.007624,"12",2010
"323","1510039","4",4,1,1,1,1,81000,3,2,1.001264,"12",2015
"324","372661","3",11,2,1,1,7,110000,4,2,1.010207,"12",2012
"325","001506129","2",54,1,1,1,21,175000,2,1,1.007588,"12",2016
"326","827641","2",57,2,1,1,22,135520,2,1,0.99948,"12",2009
"327","609385","3",27,1,1,1,16,65900,3,2,1.008425,"12",2014
"328","758361","1",49,2,9,4,23,203500,4,0,1.018389,"12",2008
"329","294436","3",22,1,1,1,19,365500,4,2,1.018389,"9",2008
"330","90065","4",8,1,2,1,2,55200,1,5,1.015675,"12",2006
"331","181212","2",58,2,1,1,18,34400,2,6,1.007624,"12",2010
"332","311016","2",94,2,1,1,1,47700,4,6,1.008425,"12",2014
